day,day_confirmed,day_death,day_release
1월 20일,1,0,0
1월 24일,0,0,0
1월 26일,1,0,0
1월 27일,1,0,0
1월 30일,1,0,0
1월 31일,2,0,0
2월 1일,5,0,0
2월 2일,1,0,0
2월 4일,3,0,0
2월 5일,1,0,0
2월 6일,3,0,1
2월 7일,4,0,1
2월 9일,1,0,0
2월 10일,3,0,1
2월 11일,0,0,1
2월 12일,1,0,0
2월 15일,0,0,3
2월 16일,0,0,2
2월 17일,1,0,0
2월 18일,1,0,1
2월 19일,1,0,2
2월 20일,20,1,4
2월 21일,53,0,0
2월 22일,100,1,1
2월 23일,229,0,1
2월 24일,169,4,0
2월 25일,231,2,6
2월 26일,144,4,0
2월 27일,284,0,0
2월 28일,505,1,3
2월 29일,571,3,0
3월 1일,813,1,1
3월 2일,1062,5,3
3월 3일,600,6,3
3월 4일,516,4,7
3월 5일,438,3,47
3월 6일,518,7,20
3월 7일,483,2,10
3월 8일,367,6,12
3월 9일,248,1,36
3월 10일,131,3,81
3월 11일,242,6,41
3월 12일,114,6,45
3월 13일,110,1,177
3월 14일,107,5,204
3월 15일,76,3,120
3월 16일,74,0,303
3월 17일,84,6,264
3월 18일,93,3,139
3월 19일,152,7,407
3월 20일,87,3,286
3월 21일,147,8,379
3월 22일,98,2,297
3월 23일,64,7,257
3월 24일,76,9,341
3월 25일,100,6,223
3월 26일,104,5,414
3월 27일,91,8,384
3월 28일,146,5,283
3월 29일,105,8,222
3월 30일,78,6,195
3월 31일,125,4,180
4월 1일,101,3,159
4월 2일,89,4,261
4월 3일,86,5,193
4월 4일,94,3,304
4월 5일,81,6,138
4월 6일,47,3,135
4월 7일,47,6,96
4월 8일,53,8,82
4월 9일,39,4,197
4월 10일,27,4,144
4월 11일,30,3,126
4월 12일,32,3,125
4월 13일,25,3,79
4월 14일,27,5,87
4월 15일,27,3,82
4월 16일,22,4,141
4월 17일,22,1,72
4월 18일,18,2,108
4월 19일,8,2,105
4월 20일,13,2,72
4월 21일,9,1,99
4월 22일,11,1,64
4월 23일,8,2,134
4월 24일,6,0,90
4월 25일,10,0,134
4월 26일,10,2,82
